id,name,password,image,phone,price,car,date,house,sumphone,sumhouse,mesphone,mescar,mesday,mesmonth,meshouse,double_num,mean_duo_af,category,positive_resultphone,negative_resultphone,positive_resultcar,negative_resultcar,total_positive
1,User_1,abc123,pngtree.jpg,0919326139,500,ขนธ134,29/1,86/06,43,,เลข ๔ ดาวพุธ กับเลข ๓ ดาวอังคาร เป็นผู้มีปฏิภาณไหวพริบดี แก้ไขปัญหาเก่ง มีมนุษยสัมพันธ์ดี เข้ากับคนง่าย แต่มีข้อด้อยคือ เป็นคนคิดมาก เครียดง่าย ทุกข์ใจง่าย ไม่ค่อยไว้ใจใคร และอาจมีศัตรูลอบกลั่นแกล้งอยู่เบื้องหลังเสมอ เลข ๔ กับเลข ๓ บวกกันได้เลข ๗ ดาวเสาร์ ชีวิตจึงมักเหน็ดเหนื่อย ต้องต่อสู้ฝ่าฟันกับอุปสรรคที่มีเข้ามา ,"อายุยืนและสิ่งศักดิ์สิทธิ์คุ้มครอง 
 ส่งเสริมให้เกิดความคล่องแคล่วในทุก ๆ ด้าน ไม่ว่าจะเป็นด้านการงาน การเงิน ความมั่นคั่ง มั่นคง อายุยืน สิ่งศักดิ์สิทธิ์คุ้มครองตลอดเวลา เหมาะกับทุก ๆ คน            เพราเป็นเลขดี เลขมงคล",,,,"91,19,93,32,26,61,13,39,","การแสวงหา และความสำเร็จ,ความสำเร็จ เจริญรุ่งเรือง,ความสำเร็จที่รุ่มร้อน,เสน่ห์เมตตามหานิยม,รสนิยมสูง,บุคลิกซ้อน,การเปลี่ยนแปลงทั้งดีและร้ายแบบฉับพลัน,ความกดดัน,","การงาน,การเรียน,ความรัก,การเงิน,ประมาท,",87,13,50,50,68.5
2,User_2,25jft7,astronaut.jpg,9921118544,699,กช7360,13/6,77/05,44,,เป็นเลขดี เลข ๔๔ ดาวพุธสองดวง หนุนนำให้ชีวิตมีความเจริญรุ่งโรจน์ดี โดดเด่นเรื่องมีฝีปากดี มีวาทศิลป์ พูดจาเป็นที่น่าเชื่อถือและประทับใจ ฉลาดหลักแหลม สติปัญญาดี มักมีความรู้การศึกษาดี รู้เท่าทันคนทันโลก ผู้ใหญ่ให้การสนับสนุนเสมอ จึงมักประสบความสำเร็จด้านหน้าที่การงาน ชีวิตช่วงใดมีอุปสรรคก็มักผ่านพ้นไปได้ด้วยดี เลข ๔ กับ ๔ ผลรวมได้เลข ๘ พลังจากดาวราหูอาจทำให้ใจจดใจจ่อกับสิ่งที่สนใจมากเป็นพิเศษ แต่หากเป็นสิ่งที่ดีก็จะเจริญ เพราะทุ่มเทมาก,"อายุยืนและสิ่งศักดิ์สิทธิ์คุ้มครอง 
 ส่งเสริมให้เกิดความคล่องแคล่วในทุก ๆ ด้าน ไม่ว่าจะเป็นด้านการงาน การเงิน ความมั่นคั่ง มั่นคง อายุยืน สิ่งศักดิ์สิทธิ์คุ้มครองตลอดเวลา เหมาะกับทุก ๆ คน            เพราเป็นเลขดี เลขมงคล",,,,"92,21,11,11,18,85,54,44,","ความศรัทธาและจินตนาการ,ความพลิกผัน,ความขัดแย้งในตัวเอง,ความขัดแย้งในตัวเอง,ความไม่แน่นอนของชีวิต,ทัศนคติที่ผิดพลาด,ราชาโชคและสำเร็จ,วาทศิลป์และสติปัญญา,","การงาน,ประมาท,ความเครียด,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,การเรียน,",37,63,16.6666666666667,83.3333333333333,26.8333333333333
3,User_3,258dgr,ninja.jpg,0991245410,350,ขษจ427,8/2,41/84,35,,ดาวอังคารเลข ๓ คู่กับเลข ๕ ดาวพฤหัส จัดว่าเป็นคู่สมพล เป็นเลขอำนาจบารมี ติดต่อกิจการงานใดมักราบรื่น เป็นที่ยำเกรงเคารพของลูกน้องและบริวาร การออกคำสั่งการงานมักบังเกิดผลดี เลขนี้ให้คุณในด้านพรสวรรค์เข้ากับคนได้ทุกระดับชั้น มักเป็นคนกระฉับกระเฉงคล่องงานรอบตัว บุคคลเลข ๓๕ มักจะพัวพันกับผู้ใหญ่ มักได้รับการอุปถัมภ์ค้ำชูจากผู้ใหญ่หรือผู้มีอำนาจ ทำให้กิจการงานมักเจริญรุ่งเรืองก้าวหน้า แต่เลข ๓ กับ ๕ รวมกันได้เลข ๘ ราหู จึงเป็นเลขที่ไม่น่าไว้วางใจนัก ต้องหนักแน่นระวังคนที่เข้ามาคบเพื่อหวังผลประโยชน์ บุคคลหมายเลข ๓๕ มักจะกำพร้า หรือต้องอยู่ห่างจากบุพการี ,"ความทุกข์และอุปสรรคในชีวิต 
 มีพลังส่งผลกระทบเรื่องการเสียทรัพย์ มีอุปสรรคในชีวิต หรือเกิดอุบัติเหตุได้ง่ายมักจะเกิดผลเสียด้านการเงิน            เหมาะสำหรับคนที่ทำอาชีพด้านเกษตรกรรม การขนส่ง อาชีพที่ต้องใช้ความอดทน หรือ โปรเจ็คต์ระยะยาว",,,,"99,91,12,24,45,54,41,10,","พรสวรรค์ทางอำนาจจิต,การแสวงหา และความสำเร็จ,คนสองบุคลิก,ความสุข ความสำเร็จ และการสนับสนุน,ความสำเร็จและความมั่นคง,ราชาโชคและสำเร็จ,พลังอำนาจมหัศจรรย์,อุปสรรคของชีวิต,","ความมั่นคง,การงาน,ประมาท,ความเครียด,ความรัก,การเงิน,การเรียน,ชีวิตอุปสรรค,",75,25,66.6666666666667,33.3333333333333,70.8333333333333
4,User_4,abc123,ninja.jpg,0912008504,11900,ขษจ427,5/3,83/72,29,,"มักเชื่อและสนใจในสิ่งศักดิ์สิทธิ์ หรือสิ่งลี้ลับ ขณะเดียวกันก็ชอบและสนใจเกี่ยวกับความสวยความงาม เจ้าของดวงชะตามักเป็นคนหน้าตาดี มีเสน่ห์อย่างลึกลับ เป็นคนมีจินตนาการสูง เป็นคนมองโลกในแง่ดี มีโลกส่วนตัวสูง ชอบสิ่งแปลก ๆ ใหม่ ๆ ชอบของโบราณ มักมีญาณหยั่งรู้ หรือลางสังหรณ์แม่นที่เกิดขึ้นจริง สนใจในศาสนาและสิ่งลึกลับ ชะตาชีวิตมักจะมีคนคอยช่วยเหลืออุปถัมภ์ค้ำชูอยู่เสมอ ,มักประสบความสำเร็จในเรื่องงานและการเงิน คิดงานเก่ง มีไอเดียดี แต่มีจุดอ่อนคือ มักเป็นคนขี้สงสาร และอารมณ์อ่อนไหวง่าย ","ความทุกข์และอุปสรรคในชีวิต 
 มีพลังส่งผลกระทบเรื่องการเสียทรัพย์ มีอุปสรรคในชีวิต หรือเกิดอุบัติเหตุได้ง่ายมักจะเกิดผลเสียด้านการเงิน            เหมาะสำหรับคนที่ทำอาชีพด้านเกษตรกรรม การขนส่ง อาชีพที่ต้องใช้ความอดทน หรือ โปรเจ็คต์ระยะยาว",,,,"91,12,20,00,08,85,50,04,","การแสวงหา และความสำเร็จ,คนสองบุคลิก,ความสำเร็จจากแรงสนับสนุน,ความใจได้ยาก,ความลุ่มหลวง มัวเมา,ทัศนคติที่ผิดพลาด,คุณธรรมและความสามารถ,สติปัญญา,","การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ปัญหาด้านสุขภาพ,ชีวิตอุปสรรค,",12,88,66.6666666666667,33.3333333333333,39.3333333333333
5,User_5,abc123,shiba.jpg,9904700744,600,ขษจ427,21/12,09/78,44,,เป็นเลขดี เลข ๔๔ ดาวพุธสองดวง หนุนนำให้ชีวิตมีความเจริญรุ่งโรจน์ดี โดดเด่นเรื่องมีฝีปากดี มีวาทศิลป์ พูดจาเป็นที่น่าเชื่อถือและประทับใจ ฉลาดหลักแหลม สติปัญญาดี มักมีความรู้การศึกษาดี รู้เท่าทันคนทันโลก ผู้ใหญ่ให้การสนับสนุนเสมอ จึงมักประสบความสำเร็จด้านหน้าที่การงาน ชีวิตช่วงใดมีอุปสรรคก็มักผ่านพ้นไปได้ด้วยดี เลข ๔ กับ ๔ ผลรวมได้เลข ๘ พลังจากดาวราหูอาจทำให้ใจจดใจจ่อกับสิ่งที่สนใจมากเป็นพิเศษ แต่หากเป็นสิ่งที่ดีก็จะเจริญ เพราะทุ่มเทมาก,"ความทุกข์และอุปสรรคในชีวิต 
 มีพลังส่งผลกระทบเรื่องการเสียทรัพย์ มีอุปสรรคในชีวิต หรือเกิดอุบัติเหตุได้ง่ายมักจะเกิดผลเสียด้านการเงิน            เหมาะสำหรับคนที่ทำอาชีพด้านเกษตรกรรม การขนส่ง อาชีพที่ต้องใช้ความอดทน หรือ โปรเจ็คต์ระยะยาว",,,,"90,04,47,70,00,07,74,44,","พลังสิ่งศักดิ์สิทธิ์คุ้มครอง,สติปัญญา,ความเพียรพยายาม,เผชิญเคราะห์กรรม,ความใจได้ยาก,ความทุกข์โศก,อารมณ์ที่อ่อนไหว,วาทศิลป์และสติปัญญา,","ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,",25,75,66.6666666666667,33.3333333333333,45.8333333333333
6,User_6,258dgr,charizard.jpg,9108500373,429,กฉ1047,9/9,71/86,36,,เป็นเลขดีมาก มักมีความสุขสมหวัง ทั้งด้านการงานและความรัก การงานมีโอกาสก้าวหน้าโดดเด่น ทำงานในตำแหน่งใหญ่โต ถ้าเป็นธุรกิจก็มักจะเจริญรุ่งเรืองดี หาทรัพย์เก่ง มักจะประสบความสำเร็จร่ำรวย การเรียนรู้การศึกษาดี และจะเด่นมากในเรื่องความรัก มักจะมีโชคดีเรื่องความรัก เป็นที่นิยมชมชอบ ถ้าเป็นเลขชื่อของแบรนด์หรือกิจการก็มักจะได้รับความนิยม ได้รับความร่วมมือจากคนรอบข้างอย่างดี เป็นผู้ที่สร้างความประทับใจให้คนรอบข้างเสมอ มีมิตรสหายมาก,"อายุยืนและสิ่งศักดิ์สิทธิ์คุ้มครอง 
 ส่งเสริมให้เกิดความคล่องแคล่วในทุก ๆ ด้าน ไม่ว่าจะเป็นด้านการงาน การเงิน ความมั่นคั่ง มั่นคง อายุยืน สิ่งศักดิ์สิทธิ์คุ้มครองตลอดเวลา เหมาะกับทุก ๆ คน            เพราเป็นเลขดี เลขมงคล",,,,"10,08,85,50,00,03,37,73,","อุปสรรคของชีวิต,ความลุ่มหลวง มัวเมา,ทัศนคติที่ผิดพลาด,คุณธรรมและความสามารถ,ความใจได้ยาก,ความกล้าหาญ,อุปสรรคที่ขวางกั้น,บาปเคราะห์,","ประมาท,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,",0,100,50,50,25
7,User_7,abc123,astronaut.jpg,0916291212,350,ศข428,14/1,53/43,33,,เลข ๓๓ ดาวอังคารสองดวง พลังแห่งการต่อสู้แข่งขันของดาวอังคารจึงเพิ่มขึ้นถึงสองเท่า มักส่งผลให้เจ้าชะตาเป็นคนที่มีอารมณ์ฉุนเฉียวรุนแรง ทำอะไรตามอำเภอใจ ขาดความยับยั้งชั่งใจ มุทะลุ ดุดัน ขี้หงุดหงิด โมโหร้าย มักเป็นคนเลือดร้อน มีปากเสียงกับผู้อื่นได้ง่าย มีเรื่องการขัดวาจากันเสมอ โอกาสเกิดอุบัติเหตุมีสูงเนื่องจากความใจร้อน เป็นคนที่ซีเรียสจริงจังกับความรักมากเกินไป และเป็นลักษณะรุนแรงมากด้วย เป็นคนชอบเสี่ยงไม่ระมัดระวัง,"สติปัญญาและความน่าเชื่อถือ 
 มีพลังส่งเสริมด้านสติปัญญา เรื่องการศึกษา เป็นคนใจเย็น ดูน่าเชื่อถือ เหมาะสำหรับทุกคนแต่จะเด่นกับคนที่ต้องอาศัยเครดิต            ความไว้วางใจ หรืองานที่ใช้ความรู้เชิงลึก และคนที่ทำงานด้านการศึกษาศาลยุติธรรม หมอ พยาบาล ครู อาจารย์ การค้าขายที่ต้องใช้ความรู้ความเชี่ยวชาญ",,,,"91,16,62,29,91,12,21,12,","การแสวงหา และความสำเร็จ,ชีวิตที่ต้องฝ่าฟัน,ความลุ่มหลง, ศรัทธาและความสวยงาม,การแสวงหา และความสำเร็จ,คนสองบุคลิก,ความพลิกผัน,คนสองบุคลิก,","การงาน,การเรียน,การเงิน,ความรัก,ประมาท,ความเครียด,",62,38,100,0,81
8,User_8,abc123,charizard.jpg,0912396087,17000,บร1599,1/12,29/41,45,,เป็นเลขดีมาก อิทธิพลของเลขนี้ มักจะส่งผลให้เจ้าชะตามีสติปัญญาฉลาดหลักแหลม ปฏิภาณไหวพริบดีมาก เรียนรู้เร็ว ประสบความสำเร็จในการเล่าเรียนทุกศาสตร์ มีความรู้รอบตัวมาก รู้ทั้งวิชาการทางโลกและทางธรรม ฉลาดทันคน ทันโลก และยังมีเสน่ห์ที่คำพูด ปรับตัวเข้ากับสังคมได้ทุกที่ ประสบความสำเร็จอย่างมั่นคง ทั้งด้านการงานและความรัก การเงินดีมาก มักร่ำรวย ฐานะมั่นคง มักมีผู้คอยสนับสนุน ทำการสิ่งใดมักมีผู้ใหญ่ให้การช่วยเหลือตลอดไม่ตกอับ ความรักราบรื่น มีสิ่งศักดิ์สิทธิ์ปกป้องคุ้มครอง มักแคล้วคลาดจากอุบัติเหตุร้ายแรง เลขนี้ส่งอิทธิพลต่อความมั่นคงในชีวิตดีมาก,"ความเข้มแข็งและความกล้าหาญ 
 เป็นคนที่มีพลังสูง เป็นคนลุย ๆ ถึงไหนถึงกัน มักขับรถด้วยความเร็วสูง หรือเป็นคนใจร้อนจึงต้องมีสติ            ระมัดระวังอยู่เสมอ เลขนี้เหมาะกับผู้ชายมากกว่าผู้หญิง เหมาะสำหรับคนทำงานในเครื่องแบบ ตำรวจ ทหาร หมอ เป็นต้น",,,,"91,12,23,39,96,60,08,87,","การแสวงหา และความสำเร็จ,คนสองบุคลิก,เสน่ห์เมตตามหานิยม,ความกดดัน,บุญนำพา,อารมณ์สุนทรีย์ มีโชคเรื่องการเงิน,ความลุ่มหลวง มัวเมา,ดาวคู่มิตร,","การงาน,ประมาท,ความเครียด,ความรัก,การเรียน,การเงิน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ปัญหาด้านสุขภาพ,",62,38,100,0,81
9,User_9,159fsg,charizard.jpg,9198719019,2300,มง861,9/11,31/19,54,,เป็นเลขมงคลดีมาก ประสบความสำเร็จในชีวิตได้โดยง่าย มีบารมี มีคนเคารพนับถือมากมาย การศึกษาจะประสบความสำเร็จอย่างดีเยี่ยม ประสบความสำเร็จในการเล่าเรียนทุกศาสตร์ มีความรู้รอบตัวมาก รู้ทั้งวิชาการทางโลกและทางธรรม ฉลาดทันคน ทันโลก และยังมีเสน่ห์ที่คำพูด ปรับตัวเข้ากับสังคมได้ทุกที่ ประสบความสำเร็จอย่างมั่นคง ทั้งด้านการงานและความรัก มักมีผู้คอยสนับสนุน ทำการสิ่งใดมักมีผู้ใหญ่ให้การช่วยเหลือตลอดไม่ตกอับ ความรักราบรื่น มีสิ่งศักดิ์สิทธิ์ปกป้องคุ้มครอง มักแคล้วคลาดจากอุบัติเหตุร้ายแรง เลขนี้ส่งอิทธิพลต่อความมั่นคงในชีวิตดีมาก,"การเจรจา การติดต่อและการค้าขาย 
 มีพลังส่งเสริมด้านการพูด การเจรา การติดต่อสื่อสาร การประสานงาน ประชาสัมพันธ์            เหมาะสำหรับคนที่ทำงานด้านการติดต่อสื่อสาร ไม่ว่าจะเป็นนักพูด นักร้อง พิธีกรนักเขียน ผู้สื่อข่าว นักประชาสัทพันธ์  หรืออาชีพใด ๆ ก็ตาม ที่ต้องเน้นการเจราต่อรอง",,,,"19,98,87,71,19,90,01,19,","ความสำเร็จ เจริญรุ่งเรือง,ความสำเร็จที่รวดเร็ว,ดาวคู่มิตร,ความเจริญที่ถูกขัดขวาง,ความสำเร็จ เจริญรุ่งเรือง,พลังสิ่งศักดิ์สิทธิ์คุ้มครอง,ความเชื่อมั่น,ความสำเร็จ เจริญรุ่งเรือง,","การงาน,ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,",62,38,75,25,68.5
10,User_10,abc123,ninja.jpg,9911666173,140,บร1599,14/10,90/00,49,,เลข ๔ ดาวพุธ กับเลข ๙ ดาวเกตุ มีข้อดีคือมักมีสมองปราดเปรื่อง ไหวพริบสติปัญญาดี เป็นคนทันสมัยพร้อมกับสนใจศาสตร์ลึกลับไปพร้อมกัน เป็นเลขที่หนุนให้มีความสำเร็จได้เหมือนกัน แต่ผลรวม ๔+๙ ได้เลข ๑๓ สื่อถึงอุปสรรคที่มีเข้ามาให้แก้ไขอยู่เนืองๆ,"ความเข้มแข็งและความกล้าหาญ 
 เป็นคนที่มีพลังสูง เป็นคนลุย ๆ ถึงไหนถึงกัน มักขับรถด้วยความเร็วสูง หรือเป็นคนใจร้อนจึงต้องมีสติ            ระมัดระวังอยู่เสมอ เลขนี้เหมาะกับผู้ชายมากกว่าผู้หญิง เหมาะสำหรับคนทำงานในเครื่องแบบ ตำรวจ ทหาร หมอ เป็นต้น",,,,"91,11,16,66,66,61,17,73,","การแสวงหา และความสำเร็จ,ความขัดแย้งในตัวเอง,ชีวิตที่ต้องฝ่าฟัน,ลุ่มหลงมัวเมา,ลุ่มหลงมัวเมา,บุคลิกซ้อน,ความไม่แน่นอนของชีวิต,บาปเคราะห์,","การงาน,ประมาท,ชีวิตอุปสรรค,การเรียน,ความเครียด,มีปัญหาด้านการเงิน,",62,38,100,0,81
